feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,cluster,question_id
1.704390820562019,-0.7939051851862747,-0.23200439372295018,0.2909958960442169,-0.43267344961984733,-0.41388578023303907,-0.40296847193391877,-0.09848906441850007,0.01068617643152462,32,fc084299-5fff-4543-b5f6-5a7971b93da6
-0.709077749924029,-0.77398770575377,-0.4580086095098489,-0.3079618762631124,-0.4301032657551488,-0.7285979065309938,-0.3851657751947778,-0.13562371059977205,-0.016467970851315232,50,a6d25890-eecd-488a-8b89-2455786b3b80
1.2219220999114515,-0.6720540254929778,-0.19096124115241297,0.20371497120126258,-0.1491990542934569,-0.08698442311165204,0.10811715835972044,-0.04239467805877528,0.05954532602960046,5,3d9980e3-3d1c-4932-920e-f94a57340888
0.20642173287613022,-0.8615436394560585,-0.422530512645619,-0.11554197134542345,-0.4236311213053081,-0.6033819357941846,-0.45368895004504883,-0.0904643028222042,-0.0022383928645587628,63,21b80886-9511-4cd4-bde3-1cf1878f21a2
-0.18636374801119823,-0.8636991464861542,-0.46013079039923876,-0.20814868727670957,-0.43418691724238967,-0.6500673785035512,-0.4703291032968127,-0.09078969358773019,0.004722254045254021,14,239c4195-884a-49ea-80ea-45e18acbe1d4
0.8429438898601258,-0.639686017353995,-0.2100211833646642,0.09879663042939743,-0.12796135325588473,-0.08853893380003483,0.2391023235426062,0.04518989616843506,-0.013961257588903037,5,14ef74f3-2867-478b-a59f-8ae6bc9bc1d9
0.5430955700817474,-0.8658272003132648,-0.390960896221766,-0.07048844420949203,-0.3510723490833447,-0.4971326251315365,-0.44478511550406286,-0.06435098616449503,-0.025760693917473414,63,58e6e75e-5897-4a53-bec4-3954176b2422
-1.242475457464613,-0.7703677569535256,-0.5301282758440281,-0.5983177120016885,0.056202860484887845,-0.19674176985884506,0.024021656312512393,0.017586571878431167,0.0960736383749779,25,7f84856b-856b-4afc-9419-10b532139567
2.607996176986326,-0.8506624626775191,-0.15482118182297225,0.5324921792771407,-0.4723783744863315,-0.3620457967710023,-0.4482718673497973,-0.12861974821331632,-0.04556960763073906,48,8184ec54-399c-4336-a303-aa0f7dc958b3
-0.398119438983662,-0.7710968071670475,-0.45452931925028367,-0.37517112477674747,0.04401618878723696,-0.11893071525712658,0.045043885584342774,0.03285682545338481,0.08117924644163067,59,299a269d-11c9-4ff5-ab2a-d541d3b55f29
